City,City_ID,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind_speed,Country,Date
Lokosovo,1500399,61.13,74.82,-23.6,97,7,5.91,RU,2020-01-30 02:11:17
Klaksvik,2618795,62.23,-6.59,33.8,70,76,3.36,FO,2020-01-30 02:11:17
Gainesville,4156404,29.65,-82.32,53.37,100,90,4.7,US,2020-01-30 02:07:54
Te Anau,2181625,-45.42,167.72,55.65,78,90,12.59,NZ,2020-01-30 02:11:18
Andenes,3163146,69.31,16.12,27.28,74,100,18.34,NO,2020-01-30 02:11:18
Karasjok,779350,69.47,25.51,14.0,78,100,53.02,NO,2020-01-30 02:11:18
Iqaluit,5983720,63.75,-68.51,-7.29,76,90,2.24,CA,2020-01-30 02:11:18
Valparaiso,3868626,-33.04,-71.63,59.74,93,0,3.33,CL,2020-01-30 02:08:41
Palmer,4946620,42.16,-72.33,26.35,33,1,5.7,US,2020-01-30 02:11:19
Boa Vista,3664980,2.82,-60.67,82.4,65,85,10.29,BR,2020-01-30 02:10:57
Terrace,6162949,54.52,-128.6,35.6,93,90,18.34,CA,2020-01-30 02:11:25
Luba,2309528,3.46,8.55,73.4,83,20,1.12,GQ,2020-01-30 02:11:26
Troitskoye,1489209,52.98,84.68,-11.24,99,100,3.8,RU,2020-01-30 02:11:26
Roald,3141667,62.58,6.13,33.73,93,75,11.41,NO,2020-01-30 02:11:26
Kangayam,1268095,11.0,77.57,69.8,83,20,6.38,IN,2020-01-30 02:11:27
Nsunga,151363,-1.14,31.39,66.2,93,75,1.25,TZ,2020-01-30 02:11:27
Sayyan,70979,15.17,44.32,45.19,44,0,0.22,YE,2020-01-30 02:11:27
Abu Samrah,172515,35.3,37.18,47.01,87,18,6.62,SY,2020-01-30 02:07:59
Kostanay,1519928,53.17,63.58,-9.4,83,13,4.47,KZ,2020-01-30 02:11:28
Junagarh,1268772,19.87,82.93,73.53,55,9,2.55,IN,2020-01-30 02:11:28
Blacksburg,4747845,37.23,-80.41,33.67,74,90,5.1,US,2020-01-30 02:07:50
Biltine,244878,14.53,20.92,62.51,10,91,15.35,TD,2020-01-30 02:11:29
Xiangxiang,1790471,27.73,112.53,51.94,55,0,0.69,CN,2020-01-30 02:11:29
Maluso,1702425,6.54,121.88,84.2,74,20,4.7,PH,2020-01-30 02:11:29
Kaberamaido,233019,1.74,33.16,70.11,80,99,12.88,UG,2020-01-30 02:11:29
Tete,1026014,-16.16,33.59,77.0,100,75,2.95,MZ,2020-01-30 02:11:29
Sovetskiy,1491230,61.36,63.58,-14.4,98,0,4.7,RU,2020-01-30 02:11:30
Arlit,2447513,18.74,7.39,67.19,10,0,6.73,NE,2020-01-30 02:11:30
Vanimo,2084442,-2.67,141.3,83.34,75,100,13.0,PG,2020-01-30 02:11:30
Umm Lajj,100926,25.02,37.27,58.42,28,73,9.31,SA,2020-01-30 02:11:31
Olavarria,3842670,-36.89,-60.32,62.01,46,17,1.99,AR,2020-01-30 02:11:31
Segovia,3109254,41.17,-4.0,46.69,33,100,2.04,ES,2020-01-30 02:11:31
Bohorodchany,711887,48.81,24.54,32.41,74,81,12.77,UA,2020-01-30 02:11:31
Boden,606531,65.83,21.69,26.6,92,100,8.05,SE,2020-01-30 02:11:31
Maunabo,4566208,18.01,-65.9,73.31,88,40,2.89,PR,2020-01-30 02:11:32
Puerto Madero,3520989,14.72,-92.42,77.0,88,40,4.54,MX,2020-01-30 02:11:32
Zafarabad,1252702,25.7,82.73,59.0,93,75,9.17,IN,2020-01-30 02:11:32
Severo-Kuril'sk,2121385,50.68,156.12,23.07,85,100,1.36,RU,2020-01-30 02:11:32
Bilibino,2126682,68.05,166.44,-30.44,100,98,1.9,RU,2020-01-30 02:11:32
Kizema,547871,61.11,44.83,-1.07,98,92,3.53,RU,2020-01-30 02:11:33
Kasempa,912628,-13.46,25.83,63.1,97,100,4.9,ZM,2020-01-30 02:11:33
Nadlac,672546,46.17,20.75,33.58,100,87,9.17,RO,2020-01-30 02:11:33
Changping,2038154,40.22,116.22,38.73,58,0,2.24,CN,2020-01-30 02:11:33
Tongliao,2034400,43.61,122.27,6.87,88,0,8.28,CN,2020-01-30 02:11:34
Kralendijk,3513563,12.15,-68.27,78.8,78,0,6.93,BQ,2020-01-30 02:11:34
Carnot,2387495,4.94,15.87,66.04,23,100,2.77,CF,2020-01-30 02:11:35
Katsuura,2112309,35.13,140.3,57.2,82,20,10.29,JP,2020-01-30 02:09:05
Flagstaff,5294810,35.2,-111.65,37.33,59,1,12.75,US,2020-01-30 02:11:35
Kajiado,195298,-1.85,36.78,62.6,100,75,3.36,KE,2020-01-30 02:11:35
Cidreira,3466165,-30.18,-50.21,75.78,86,0,15.48,BR,2020-01-30 02:06:54
Matane,6696260,48.83,-67.52,10.24,66,5,18.34,CA,2020-01-30 02:10:43
Cilibia,681912,45.07,27.07,38.7,57,100,5.66,RO,2020-01-30 02:11:38
Tiksi,2015306,71.69,128.87,-14.58,94,100,2.82,RU,2020-01-30 02:11:38
Shumskiy,1491977,54.83,99.13,4.28,88,100,3.65,RU,2020-01-30 02:11:38
Suntar,2015913,62.14,117.63,11.26,89,100,8.93,RU,2020-01-30 02:11:38
Carauari,3664659,-4.88,-66.9,74.16,98,100,4.43,BR,2020-01-30 02:11:39
Rumuruti,180992,0.27,36.54,61.21,83,100,7.25,KE,2020-01-30 02:11:40
Choa Saidan Shah,1181053,32.72,72.98,47.75,83,0,2.04,PK,2020-01-30 02:11:40
Churachandpur,1273909,24.33,93.67,48.2,93,20,0.87,IN,2020-01-30 02:11:40
Blyth,2655315,55.13,-1.51,47.86,81,75,20.8,GB,2020-01-30 02:11:40
Itupiranga,3397851,-5.13,-49.33,80.6,88,40,3.36,BR,2020-01-30 02:11:40
Hastings,2647356,50.86,0.57,45.97,93,93,18.34,GB,2020-01-30 02:08:44
Douentza,2458334,15.0,-2.95,64.98,12,0,3.22,ML,2020-01-30 02:11:41
Eilat,295277,29.56,34.95,51.8,57,0,6.93,IL,2020-01-30 02:11:41
Mangrol,1263752,21.12,70.12,64.72,56,0,12.55,IN,2020-01-30 02:11:41
Ulcinj,3188516,41.93,19.22,37.47,93,0,3.36,ME,2020-01-30 02:11:42
Kasongo-Lunda,2315026,-6.47,16.82,68.59,96,100,1.39,CD,2020-01-30 02:11:42
Povenets,505820,62.85,34.83,7.81,95,100,6.6,RU,2020-01-30 02:11:42
Wanaka,2184707,-44.7,169.15,59.34,51,59,12.97,NZ,2020-01-30 02:09:44
North Bend,5742974,43.41,-124.22,50.61,93,90,9.17,US,2020-01-30 02:11:43
Saint-Joseph,6690296,-21.37,55.62,69.4,68,0,6.93,RE,2020-01-30 02:11:43
Ryotsu,1853371,38.08,138.43,51.1,81,75,4.7,JP,2020-01-30 02:11:43
Chegdomyn,2025579,51.12,133.02,1.11,88,67,2.01,RU,2020-01-30 02:11:43
Fort Nelson,5955902,58.81,-122.7,3.2,84,75,2.24,CA,2020-01-30 02:11:44
Whitehorse,6180550,60.72,-135.05,29.98,86,75,14.99,CA,2020-01-30 02:09:39
Fergus Falls,5026416,46.28,-96.08,17.35,92,90,9.17,US,2020-01-30 02:11:48
Seymchan,2121373,62.88,152.43,-24.3,96,13,2.15,RU,2020-01-30 02:11:48
Ponta do Sol,2264557,32.67,-17.1,56.35,77,20,1.12,PT,2020-01-30 02:11:48
Virginia Beach,4791259,36.85,-75.98,36.64,80,1,4.7,US,2020-01-30 02:02:37
Raudeberg,3146487,61.99,5.14,37.15,93,0,10.29,NO,2020-01-30 02:11:49
Cucutilla,3685529,7.54,-72.77,75.51,74,40,3.36,CO,2020-01-30 02:11:49
Chegutu,894239,-18.13,30.14,65.19,92,100,3.33,ZW,2020-01-30 02:11:49
Taizhou,1793505,32.49,119.91,42.69,52,0,8.01,CN,2020-01-30 02:11:49
La Palma,5364022,33.85,-118.05,65.68,32,1,6.93,US,2020-01-30 02:11:50
Belle Fourche,5762718,44.67,-103.85,32.34,74,90,4.7,US,2020-01-30 02:11:50
Praia da Vitoria,3372760,38.73,-27.07,64.4,77,40,19.8,PT,2020-01-30 02:11:50
Boguchany,1509844,58.38,97.45,1.33,86,95,12.84,RU,2020-01-30 02:11:50
Baykit,1510689,61.67,96.37,-3.39,89,93,8.37,RU,2020-01-30 02:11:51
Port Augusta,2063056,-32.5,137.77,105.64,11,1,11.41,AU,2020-01-30 02:11:51
La Sarre,6050194,48.8,-79.2,-1.88,93,11,3.09,CA,2020-01-30 02:12:12
Dalnerechensk,2025159,45.93,133.72,9.95,88,95,4.21,RU,2020-01-30 02:12:15
Tokur,2015217,53.13,132.9,4.12,74,0,1.86,RU,2020-01-30 02:12:16
Ola,2122574,59.58,151.28,-4.09,70,0,2.8,RU,2020-01-30 02:12:16
Zilair,462626,52.23,57.44,4.46,96,100,5.55,RU,2020-01-30 02:12:16
Darhan,2031964,49.49,105.92,8.15,91,84,2.44,MN,2020-01-30 02:12:17
Butembo,217562,0.15,29.28,62.44,77,80,3.47,CD,2020-01-30 02:12:17
General Roca,3855065,-39.03,-67.58,62.6,55,0,1.86,AR,2020-01-30 02:12:17
Cap Malheureux,934649,-19.98,57.61,73.69,88,40,5.82,MU,2020-01-30 02:12:17
Dahuk,96994,36.87,42.99,34.74,72,0,4.74,IQ,2020-01-30 02:12:17
Makinsk,1521230,52.63,70.42,-9.47,94,78,6.4,KZ,2020-01-30 02:12:18
Morehead,4301317,37.27,-87.18,37.92,100,90,4.7,US,2020-01-30 02:12:18
El Zulia,3682682,7.93,-72.6,80.6,74,40,3.36,CO,2020-01-30 02:12:18
Najran,103630,17.49,44.13,53.6,40,0,1.36,SA,2020-01-30 02:07:25
Masterton,2206890,-40.96,175.66,72.79,70,100,14.0,NZ,2020-01-30 02:10:52
Huarmey,3939168,-10.07,-78.15,72.81,72,100,2.57,PE,2020-01-30 02:09:26
Havre-Saint-Pierre,5972291,50.23,-63.6,10.4,60,1,10.29,CA,2020-01-30 02:12:19
Katherine,2068655,-14.47,132.27,89.6,59,40,9.17,AU,2020-01-30 02:12:19
Englewood,5421250,39.65,-104.99,33.21,98,90,3.36,US,2020-01-30 02:10:46
Savannah Bight,3601402,16.45,-85.85,79.93,84,2,11.43,HN,2020-01-30 02:12:20
Malbork,3092472,54.04,19.03,37.58,93,75,13.87,PL,2020-01-30 02:12:20
Anton Lizardo,3532821,19.05,-95.98,71.82,78,75,11.41,MX,2020-01-30 02:12:20
Makat,608872,47.65,53.35,33.03,87,100,18.19,KZ,2020-01-30 02:12:20
Hit,95788,33.64,42.83,49.15,68,0,6.96,IQ,2020-01-30 02:08:57
Mogadishu,53654,2.04,45.34,78.44,82,97,22.3,SO,2020-01-30 02:12:21
Luena,3347719,-11.78,19.92,61.32,96,100,2.75,AO,2020-01-30 02:12:21
Sao Joao da Barra,3448903,-21.64,-41.05,78.04,90,100,11.12,BR,2020-01-30 02:12:21
Honiara,2108502,-9.43,159.95,86.0,79,90,5.82,SB,2020-01-30 02:10:43
Wahiawa,5853992,21.5,-158.02,79.2,69,75,10.29,US,2020-01-30 02:09:53
Muhafazat Lahij,6201197,13.17,44.58,68.56,77,100,12.41,YE,2020-01-30 02:12:22
Abu Kamal,174448,34.45,40.92,47.52,75,0,7.87,SY,2020-01-30 02:12:22
Skjervoy,777682,70.03,20.97,20.14,76,89,23.29,NO,2020-01-30 02:12:22
Finote Selam,337712,10.7,37.27,51.71,56,68,2.93,ET,2020-01-30 02:12:22
Mpika,905846,-11.83,31.45,61.47,97,100,1.25,ZM,2020-01-30 02:12:23
Del Rio,5520076,29.36,-100.9,59.34,22,1,4.7,US,2020-01-30 02:12:23
Ilabaya,3938455,-17.42,-70.51,60.8,91,98,5.14,PE,2020-01-30 02:12:23
Sola,2134814,-13.88,167.55,82.35,78,100,15.68,VU,2020-01-30 02:12:23
Kudahuvadhoo,1337607,2.67,72.89,80.46,77,0,15.32,MV,2020-01-30 02:12:23
Gwadar,1177446,25.12,62.33,66.94,43,0,5.7,PK,2020-01-30 02:08:58
Necochea,3430443,-38.55,-58.74,49.23,93,44,1.01,AR,2020-01-30 02:07:30
Capreol,5959803,46.71,-80.92,8.82,78,20,8.05,CA,2020-01-30 02:12:24
Pailon,3909010,-17.65,-62.75,73.4,100,75,6.93,BO,2020-01-30 02:12:24
Santa Fe,3836277,-31.63,-60.7,72.0,76,100,8.01,AR,2020-01-30 02:12:25
Biharamulo,161154,-2.63,31.31,63.1,89,85,1.05,TZ,2020-01-30 02:12:25
Margate,2643044,51.38,1.39,45.1,93,99,18.34,GB,2020-01-30 02:12:25
Mayya,2020121,61.73,130.28,-29.2,73,21,4.47,RU,2020-01-30 02:12:25
Kidal,2455290,18.44,1.41,69.49,13,20,8.37,ML,2020-01-30 02:12:26
Ormara,1168700,25.21,64.64,68.22,45,0,11.92,PK,2020-01-30 02:12:14
Dergaon,1273166,26.7,93.97,60.75,81,48,5.68,IN,2020-01-30 02:12:26
Kieta,2094027,-6.22,155.63,87.55,65,99,7.72,PG,2020-01-30 02:12:26
Yishui,1786455,35.78,118.63,31.96,50,0,14.18,CN,2020-01-30 02:12:27
Ngunguru,2186111,-35.62,174.5,81.0,67,18,5.99,NZ,2020-01-30 02:12:27
Barra de Tecoanapa,3516171,16.52,-98.75,73.36,74,92,2.3,MX,2020-01-30 02:12:27
Strzelce Opolskie,3084415,50.51,18.3,35.89,80,90,17.22,PL,2020-01-30 02:12:27
Troitsko-Pechorsk,481548,62.71,56.2,-7.17,99,100,4.0,RU,2020-01-30 02:12:27
Pimentel,3693584,-6.84,-79.93,66.2,29,40,16.11,PE,2020-01-30 02:12:28
Sisimiut,3419842,66.94,-53.67,-6.27,87,31,5.7,GL,2020-01-30 02:12:28
Thunder Bay,6166142,48.4,-89.32,18.19,72,75,2.24,CA,2020-01-30 02:12:28
Batemans Bay,2176639,-35.72,150.18,81.7,79,0,15.01,AU,2020-01-30 02:12:28
Deer Park,4685737,29.71,-95.12,50.14,71,90,11.41,US,2020-01-30 02:12:29
Partizanskoye,1495538,55.5,94.39,1.99,86,100,13.58,RU,2020-01-30 02:12:29
Urumqi,1529102,43.8,87.6,8.6,84,90,2.24,CN,2020-01-30 02:07:41
Bariloche,7647007,-41.15,-71.31,59.0,47,0,14.99,AR,2020-01-30 02:12:29
Nanortalik,3421765,60.14,-45.24,22.08,48,0,25.99,GL,2020-01-30 02:12:29
Manokwari,1636308,-0.87,134.08,81.64,78,22,6.89,ID,2020-01-30 02:12:30
Oyama,1853483,36.3,139.8,57.42,62,20,1.12,JP,2020-01-30 02:12:30
Genhe,2037252,50.78,121.52,5.59,88,54,3.31,CN,2020-01-30 02:12:30
Laives,6535956,46.42,11.33,29.34,66,10,4.65,IT,2020-01-30 02:12:31
Yantal,2055868,56.85,105.25,16.93,93,100,9.8,RU,2020-01-30 02:12:31
Marfino,529368,55.7,37.38,31.84,97,90,8.95,RU,2020-01-30 02:12:31
Otofuke,2128558,42.99,143.2,32.0,98,90,17.22,JP,2020-01-30 02:12:32
Mersa Matruh,352733,31.35,27.25,50.0,87,0,13.47,EG,2020-01-30 02:12:32
Tautira,4033557,-17.73,-149.15,86.0,70,75,8.05,PF,2020-01-30 02:12:32
OEstersund,2685750,63.18,14.64,24.69,100,100,4.7,SE,2020-01-30 02:12:32
Ipatovo,556230,45.72,42.9,39.4,84,100,6.82,RU,2020-01-30 02:12:32
Caravelas,3466980,-17.71,-39.25,79.47,85,12,11.83,BR,2020-01-30 02:11:46
Ithaca,5122432,42.44,-76.5,17.33,92,90,2.53,US,2020-01-30 02:08:35
Honningsvag,779554,70.98,25.97,20.91,74,95,23.29,NO,2020-01-30 02:12:33
Kerrobert,5991284,51.92,-109.13,19.99,92,75,19.46,CA,2020-01-30 02:12:33
Campohermoso,2513222,36.94,-2.13,51.8,93,75,3.36,ES,2020-01-30 02:12:34
Port Blair,1259385,11.67,92.75,79.09,68,97,12.84,IN,2020-01-30 02:12:34
Hervey Bay,2146219,-25.3,152.85,89.06,48,21,12.75,AU,2020-01-30 02:12:34
Ayan,2027316,56.45,138.17,7.83,70,0,2.26,RU,2020-01-30 02:12:34
Oriximina,3393471,-1.77,-55.87,79.7,76,7,4.16,BR,2020-01-30 02:12:35
Zeya,2012593,53.75,127.27,0.48,87,35,0.94,RU,2020-01-30 02:12:35
Abay,1526970,49.63,72.85,-16.6,75,100,8.95,KZ,2020-01-30 02:12:35
Avera,4231997,33.19,-82.53,46.56,100,90,4.7,US,2020-01-30 02:12:35
Gannan,2037311,47.91,123.5,9.59,75,0,0.65,CN,2020-01-30 02:12:35
Chara,2025630,56.91,118.26,3.0,75,86,2.33,RU,2020-01-30 02:12:36
Poli,150689,-3.33,36.8,67.93,93,75,2.35,TZ,2020-01-30 02:07:53
Lerwick,2644605,60.15,-1.15,40.12,81,68,12.75,GB,2020-01-30 02:12:36
Balikpapan,1650527,-1.27,116.83,75.2,100,40,8.05,ID,2020-01-30 02:11:19
San Quintin,3984997,30.48,-115.95,64.13,32,0,21.54,MX,2020-01-30 02:12:36
Lakes Entrance,2160735,-37.88,147.98,99.36,25,0,3.0,AU,2020-01-30 02:12:37
Karratha,6620339,-20.74,116.85,90.91,48,0,15.7,AU,2020-01-30 02:12:37
Soe,1626703,-9.86,124.28,89.19,53,0,2.04,ID,2020-01-30 02:12:37
Alappuzha,1278985,9.49,76.33,79.16,71,100,2.46,IN,2020-01-30 02:12:08
Kaabong,233093,3.48,34.15,62.64,77,100,5.21,UG,2020-01-30 02:12:37
Jhelum,1175864,32.93,73.73,46.83,83,0,4.03,PK,2020-01-30 02:11:16
Semnan,116402,35.57,53.4,34.95,60,96,2.46,IR,2020-01-30 02:12:38
Greensboro,4469146,36.07,-79.79,39.9,60,90,5.91,US,2020-01-30 02:09:10
Ostrovnoy,556268,68.05,39.51,0.66,95,0,7.36,RU,2020-01-30 02:12:39
Borogontsy,2026160,62.67,131.17,-18.09,90,0,8.52,RU,2020-01-30 02:12:39
Ratnagiri,1258338,16.98,73.3,65.28,64,0,1.99,IN,2020-01-30 02:12:39
Chokurdakh,2126123,70.63,147.92,-14.89,97,100,8.72,RU,2020-01-30 02:12:39
Sinazongwe,897456,-17.26,27.46,74.16,83,1,7.43,ZM,2020-01-30 02:12:39
Karoi,889191,-16.81,29.69,65.21,89,100,9.89,ZW,2020-01-30 02:12:40
Veraval,1253237,20.9,70.37,60.19,40,0,10.98,IN,2020-01-30 02:12:40
Nyrob,516588,60.73,56.72,2.26,96,100,5.28,RU,2020-01-30 02:12:40
Poso,1630723,-1.4,120.75,71.46,85,100,0.65,ID,2020-01-30 02:12:40
